Vehicle Type,Drive,Measure,Economy,Date,Scope,Frequency,Fuel_Type,Unit,Comments,Medium,Value,Transport Type,Dataset,Source
ht,lpg,freight_tonne_km,08_JPN,2017-12-31,National,Yearly,,freight_tonne_km,,road,310064762.0970396,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,phevd,freight_tonne_km,08_JPN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,bev,freight_tonne_km,08_JPN,2017-12-31,National,Yearly,,freight_tonne_km,,road,397641.20627959917,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,d,freight_tonne_km,08_JPN,2017-12-31,National,Yearly,,freight_tonne_km,,road,4027764776.8091354,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,fcev,freight_tonne_km,08_JPN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,g,freight_tonne_km,08_JPN,2017-12-31,National,Yearly,,freight_tonne_km,,road,4379078914.048172,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,lpg,freight_tonne_km,08_JPN,2017-12-31,National,Yearly,,freight_tonne_km,,road,25890494.64803467,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,phevg,freight_tonne_km,08_JPN,2017-12-31,National,Yearly,,freight_tonne_km,,road,29574.038150691562,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,bev,freight_tonne_km,08_JPN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,g,freight_tonne_km,08_JPN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,cng,freight_tonne_km,08_JPN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,bev,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,cng,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,7286071.743355246,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,d,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,25782718255.642567,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,fcev,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,g,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,563147494.3887526,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,lpg,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,26848178.2253279,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,bev,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,g,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,phevd,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,bev,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,cng,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,d,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,fcev,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,g,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,lpg,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,phevg,freight_tonne_km,12_NZ,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,bev,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,cng,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,6808405463.348433,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,d,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,154777750293.9872,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,g,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,80187886248.9742,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,lpg,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,3025957993.6901574,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
