Transport Type,Medium,Vehicle Type,Economy,Date,Scope,Frequency,Drive,Value,Dataset,Source,Measure,Unit
passenger,road,ldv,11_MEX,2017-12-31,National,Yearly,lpg,244402.49326650662,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,11_MEX,2017-12-31,National,Yearly,phevg,2413.7480924662764,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,11_MEX,2017-12-31,National,Yearly,fcev,0.0,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,12_NZ,2017-12-31,National,Yearly,bev,6868.991715658785,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,12_NZ,2017-12-31,National,Yearly,cng,23.940923058986662,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,12_NZ,2017-12-31,National,Yearly,d,608632.1312363237,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,12_NZ,2017-12-31,National,Yearly,g,2958622.264244954,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,12_NZ,2017-12-31,National,Yearly,lpg,1811.5298447966575,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,12_NZ,2017-12-31,National,Yearly,phevg,770.0996917307376,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,12_NZ,2017-12-31,National,Yearly,fcev,0.0,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,20_USA,2017-12-31,National,Yearly,bev,389584.44757134805,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,20_USA,2017-12-31,National,Yearly,cng,223492.39013951065,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,20_USA,2017-12-31,National,Yearly,d,1369829.7155093553,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,20_USA,2017-12-31,National,Yearly,fcev,7627.213004074395,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,20_USA,2017-12-31,National,Yearly,g,216177709.48859638,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,20_USA,2017-12-31,National,Yearly,lpg,148048.46002120044,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,20_USA,2017-12-31,National,Yearly,phevg,375025.0702916721,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,05_PRC,2017-12-31,National,Yearly,bev,43824.086644564384,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,05_PRC,2017-12-31,National,Yearly,cng,188615.58347848893,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,05_PRC,2017-12-31,National,Yearly,d,240924.79274534225,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,05_PRC,2017-12-31,National,Yearly,g,107779.933376441,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,05_PRC,2017-12-31,National,Yearly,lpg,26945.216700682642,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,05_PRC,2017-12-31,National,Yearly,fcev,0.0,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,05_PRC,2017-12-31,National,Yearly,phevd,0.0,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,08_JPN,2017-12-31,National,Yearly,d,209324.96047638668,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,08_JPN,2017-12-31,National,Yearly,fcev,3.9994069522991778,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,08_JPN,2017-12-31,National,Yearly,g,13822.950278884035,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,08_JPN,2017-12-31,National,Yearly,lpg,109.9836911882274,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,08_JPN,2017-12-31,National,Yearly,bev,33.10614658878177,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,08_JPN,2017-12-31,National,Yearly,cng,0.0,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,08_JPN,2017-12-31,National,Yearly,phevd,0.0,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,09_ROK,2017-12-31,National,Yearly,bev,2.7633103620633435,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,09_ROK,2017-12-31,National,Yearly,cng,39648.07655397616,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,09_ROK,2017-12-31,National,Yearly,d,6607.6794418329,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,09_ROK,2017-12-31,National,Yearly,g,6607.6794418329,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,09_ROK,2017-12-31,National,Yearly,lpg,3964.8076553976157,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,09_ROK,2017-12-31,National,Yearly,fcev,0.0,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,09_ROK,2017-12-31,National,Yearly,phevd,0.0,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,12_NZ,2017-12-31,National,Yearly,bev,22.37022550553083,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,12_NZ,2017-12-31,National,Yearly,cng,17.96165834516287,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,12_NZ,2017-12-31,National,Yearly,d,10148.33696501702,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,12_NZ,2017-12-31,National,Yearly,g,220.52924968227745,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,12_NZ,2017-12-31,National,Yearly,lpg,18.95952825322747,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,12_NZ,2017-12-31,National,Yearly,fcev,0.0,BusEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,bus,12_NZ,2017-12-31,National,Yearly,phevd,0.0,BusEv_est,8th/IeaEv,Stocks,Stocks
