Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Comments,Fuel,Source
road,passenger,ldv,g,2017-12-31,03_CDA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,03_CDA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,phevg,2017-12-31,03_CDA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,bev,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,cng,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,d,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,fcev,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,g,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,phevg,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,bev,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,cng,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,d,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,fcev,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,g,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,phevg,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
