Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Comments,Fuel,Source
road,freight,ht,lpg,2017-12-31,05_PRC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,06_HKC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,06_HKC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,07_INA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,07_INA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,07_INA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,07_INA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,08_JPN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,08_JPN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,08_JPN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,08_JPN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,08_JPN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,09_ROK,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,09_ROK,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,10_MAS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,10_MAS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,10_MAS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,10_MAS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,11_MEX,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,11_MEX,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,11_MEX,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,12_NZ,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,12_NZ,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,12_NZ,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,12_NZ,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,13_PNG,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,13_PNG,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,14_PE,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,14_PE,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,14_PE,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,14_PE,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,15_RP,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,15_RP,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,16_RUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,16_RUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,16_RUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,16_RUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,17_SIN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,17_SIN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,18_CT,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,18_CT,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,19_THA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,19_THA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,19_THA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,19_THA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,20_USA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,20_USA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,20_USA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,20_USA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,20_USA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,d,2017-12-31,21_VN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,21_VN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,01_AUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,01_AUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,02_BD,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,02_BD,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,03_CDA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,03_CDA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,03_CDA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,04_CHL,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,04_CHL,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,05_PRC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,05_PRC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,05_PRC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,06_HKC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,06_HKC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,06_HKC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,07_INA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,07_INA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,08_JPN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,08_JPN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,09_ROK,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,09_ROK,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,09_ROK,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,10_MAS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,11_MEX,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,11_MEX,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,12_NZ,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,12_NZ,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,13_PNG,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,14_PE,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,14_PE,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,15_RP,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,15_RP,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,15_RP,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,16_RUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,16_RUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,17_SIN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,17_SIN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,18_CT,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,18_CT,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,19_THA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,19_THA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,19_THA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,20_USA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,20_USA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,bev,2017-12-31,21_VN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,21_VN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,01_AUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,01_AUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,01_AUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,01_AUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,01_AUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,01_AUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,01_AUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,02_BD,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,02_BD,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,02_BD,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,02_BD,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,02_BD,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,03_CDA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,03_CDA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,03_CDA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,03_CDA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,03_CDA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,03_CDA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,03_CDA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,05_PRC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,05_PRC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,05_PRC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,05_PRC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,05_PRC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,05_PRC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,05_PRC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,06_HKC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,06_HKC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,06_HKC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,06_HKC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,06_HKC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,06_HKC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,07_INA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,07_INA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,07_INA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,07_INA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,07_INA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,07_INA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,08_JPN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,08_JPN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,08_JPN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,08_JPN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,08_JPN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,08_JPN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,09_ROK,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,09_ROK,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,09_ROK,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,09_ROK,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,09_ROK,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,09_ROK,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,09_ROK,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,11_MEX,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,11_MEX,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,11_MEX,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,11_MEX,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,11_MEX,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,11_MEX,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,11_MEX,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,12_NZ,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,12_NZ,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,12_NZ,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,13_PNG,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,13_PNG,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,14_PE,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,14_PE,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,14_PE,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,14_PE,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,14_PE,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,14_PE,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,15_RP,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,15_RP,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,15_RP,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,15_RP,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,15_RP,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,16_RUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,16_RUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,16_RUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,16_RUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,16_RUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,16_RUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,17_SIN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,17_SIN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,17_SIN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,17_SIN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,17_SIN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,18_CT,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,18_CT,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,18_CT,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,18_CT,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,18_CT,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,19_THA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,19_THA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,19_THA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,19_THA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,19_THA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,19_THA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,19_THA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,20_USA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,20_USA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,20_USA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,20_USA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,20_USA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,20_USA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,20_USA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,21_VN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,21_VN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,21_VN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,21_VN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,21_VN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,01_AUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,02_BD,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,02_BD,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,02_BD,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,04_CHL,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,04_CHL,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,04_CHL,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,06_HKC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,06_HKC,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,07_INA,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,09_ROK,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,g,2017-12-31,09_ROK,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,10_MAS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,10_MAS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,11_MEX,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,11_MEX,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,12_NZ,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,13_PNG,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,13_PNG,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,13_PNG,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,13_PNG,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,14_PE,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,15_RP,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,15_RP,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,fcev,2017-12-31,16_RUS,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,17_SIN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,17_SIN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,17_SIN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,18_CT,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,18_CT,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,18_CT,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,cng,2017-12-31,21_VN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,lpg,2017-12-31,21_VN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ht,phevd,2017-12-31,21_VN,Yearly,Load,Tonnes,5.625,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,02_BD,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,02_BD,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,04_CHL,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,04_CHL,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,04_CHL,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,04_CHL,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,04_CHL,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,04_CHL,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,04_CHL,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,06_HKC,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,07_INA,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,08_JPN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,10_MAS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,10_MAS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,d,2017-12-31,10_MAS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,10_MAS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,g,2017-12-31,10_MAS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,10_MAS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,10_MAS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,12_NZ,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,12_NZ,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,12_NZ,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,12_NZ,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,bev,2017-12-31,13_PNG,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,13_PNG,Yearly,Load,Tonnes,0.365,Load,National,,,guess
