Economy,Date,Scope,Frequency,Transport Type,Medium,Vehicle Type,Drive,Drive_proportion,Value,Dataset,Source
12_NZ,2018-12-31,National,Yearly,passenger,road,bus,bev,0.002510836124420166,26.963869140148162,BusEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,bus,cng,0.0016719252211342245,17.954804949760437,BusEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,bus,d,0.9659083541430444,10372.889815142154,BusEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,bus,g,0.020899065264177806,224.43506187200546,BusEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,bus,lpg,0.0017648099556416815,18.952294113636018,BusEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,bus,bev,0.0007346925139427179,70.64656275570387,BusEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,bus,cng,0.037317349769987226,3588.361719182432,BusEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,bus,d,0.7896604773939819,75932.17218525051,BusEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,bus,g,0.023807866422456345,2289.316819450557,BusEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,bus,lpg,0.0008105690008518528,77.94269398391246,BusEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,bus,phevd,0.0005403793339012352,51.961795989274975,BusEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,bus,bev,0.08088273603278483,66659.02160500342,BusEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,bus,cng,0.21482977429160943,177050.66950378416,BusEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,bus,d,0.2751087785567449,226729.24919487,BusEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,bus,fcev,9.220161986764355e-05,75.98741180419923,BusEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,bus,g,0.162291315542029,133751.41395606994,BusEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,bus,lpg,0.030323356553137146,24990.81236312866,BusEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,bus,phevd,0.00780969673045576,6436.314702224731,BusEv_est,8th/IeaEv
08_JPN,2019-12-31,National,Yearly,passenger,road,bus,bev,0.000251830704510211,56.23253716360757,BusEv_est,8th/IeaEv
08_JPN,2019-12-31,National,Yearly,passenger,road,bus,d,0.9218394929081509,205842.14956892555,BusEv_est,8th/IeaEv
08_JPN,2019-12-31,National,Yearly,passenger,road,bus,fcev,4.4772528238227e-05,9.997481692954898,BusEv_est,8th/IeaEv
08_JPN,2019-12-31,National,Yearly,passenger,road,bus,g,0.07123756967984299,15906.99312166054,BusEv_est,8th/IeaEv
08_JPN,2019-12-31,National,Yearly,passenger,road,bus,lpg,0.0006939741876925185,154.96096624080093,BusEv_est,8th/IeaEv
08_JPN,2019-12-31,National,Yearly,passenger,road,bus,phevd,0.001298403318908583,289.926969095692,BusEv_est,8th/IeaEv
09_ROK,2019-12-31,National,Yearly,passenger,road,bus,bev,0.000207851957529783,12.046268050596103,BusEv_est,8th/IeaEv
09_ROK,2019-12-31,National,Yearly,passenger,road,bus,cng,0.6948827992839178,40272.627515298744,BusEv_est,8th/IeaEv
09_ROK,2019-12-31,National,Yearly,passenger,road,bus,d,0.11563266561406373,6701.606768328677,BusEv_est,8th/IeaEv
09_ROK,2019-12-31,National,Yearly,passenger,road,bus,g,0.11528764796341756,6681.610925367828,BusEv_est,8th/IeaEv
09_ROK,2019-12-31,National,Yearly,passenger,road,bus,lpg,0.07029734631915704,4074.1530032730657,BusEv_est,8th/IeaEv
12_NZ,2019-12-31,National,Yearly,passenger,road,bus,bev,0.003501577377319336,38.34927543640137,BusEv_est,8th/IeaEv
12_NZ,2019-12-31,National,Yearly,passenger,road,bus,cng,0.001546792657467638,16.94047318458557,BusEv_est,8th/IeaEv
12_NZ,2019-12-31,National,Yearly,passenger,road,bus,d,0.9645617036361429,10563.879778223038,BusEv_est,8th/IeaEv
12_NZ,2019-12-31,National,Yearly,passenger,road,bus,g,0.020745219170742436,227.20164035797117,BusEv_est,8th/IeaEv
12_NZ,2019-12-31,National,Yearly,passenger,road,bus,lpg,0.0016377804608480873,17.936971607208253,BusEv_est,8th/IeaEv
03_CDA,2020-12-31,National,Yearly,passenger,road,bus,bev,0.002855565249919891,274.5882988670468,BusEv_est,8th/IeaEv
