,vehicle_type,transport_type,economy,date,medium,measure,unit,fuel,comment,scope,frequency,dataset,drive,value
0,all,freight,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
1,all,passenger,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
2,all,freight,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
3,all,passenger,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
4,all,freight,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
5,all,passenger,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
6,lcv,freight,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
7,2w,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
8,bus,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
9,all,freight,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
10,all,passenger,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
11,all,freight,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
12,all,passenger,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
13,all,freight,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
14,all,passenger,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
15,lcv,freight,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
16,2w,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
17,bus,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
18,all,freight,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
19,all,passenger,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
20,all,freight,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
21,all,passenger,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
22,all,freight,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
23,all,passenger,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
24,lcv,freight,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,11460836.0
25,2w,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,8676023.0
26,bus,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,450930.0
27,all,passenger,20_USA,1980,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1810.3015701648303
28,all,passenger,20_USA,1981,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1693.0811904058576
29,all,passenger,20_USA,1982,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1698.8503438924276
30,all,passenger,20_USA,1983,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1753.602182714017
31,all,passenger,20_USA,1984,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1975.034787236767
32,all,passenger,20_USA,1985,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2070.905624475376
33,all,passenger,20_USA,1986,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2074.4700059288616
34,all,passenger,20_USA,1987,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2135.1379830392266
35,all,passenger,20_USA,1988,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2223.1451333598347
36,all,passenger,20_USA,1989,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2279.2198354012744
37,all,passenger,20_USA,1990,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2335.7188605189617
38,all,passenger,20_USA,1991,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2246.92975839986
39,all,passenger,20_USA,1992,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2179.4267381127697
40,all,passenger,20_USA,1993,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2201.776729014727
41,all,passenger,20_USA,1994,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2301.454351367999
42,all,passenger,20_USA,1995,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2238.246289469898
43,all,passenger,20_USA,1996,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2346.125189760256
44,all,passenger,20_USA,1997,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2315.873909553274
45,all,passenger,20_USA,1998,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2347.659354657137
46,all,passenger,20_USA,1999,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2385.884777186356
47,all,passenger,20_USA,2000,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2502.436093149549
48,all,passenger,20_USA,2001,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2406.3418096146283
49,all,passenger,20_USA,2002,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2186.627479477382
50,all,passenger,20_USA,2003,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2154.6714107404987
51,all,passenger,20_USA,2004,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2230.9421589954145
52,all,passenger,20_USA,2005,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2266.99815933648
53,all,passenger,20_USA,2006,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2149.295169677945
54,all,passenger,20_USA,2007,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2119.8158867237275
55,all,passenger,20_USA,2008,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1938.3654119668572
56,all,passenger,20_USA,2009,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1765.4939734379816
57,all,passenger,20_USA,2010,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1807.852509390481
58,all,passenger,20_USA,2011,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1810.437064430124
59,all,passenger,20_USA,2012,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1790.935635320291
60,all,passenger,20_USA,2013,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1826.387803720796
61,all,passenger,20_USA,2014,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1872.262800406642
62,all,passenger,20_USA,2015,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1956.7720394759417
63,all,passenger,20_USA,2016,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2031.5735717434504
64,all,passenger,20_USA,2017,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2144.398367317845
65,all,passenger,20_USA,2018,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2177.8558049676167
66,all,passenger,20_USA,2019,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2215.3071687822207
67,all,passenger,20_USA,2020,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1375.6895577631758
68,all,passenger,20_USA,1980,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,39.82116364459842
69,all,passenger,20_USA,1981,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,38.61972337428878
70,all,passenger,20_USA,1982,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,34.925784641099014
71,all,passenger,20_USA,1983,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.506700904387717
72,all,passenger,20_USA,1984,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,31.9151825651483
73,all,passenger,20_USA,1985,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.691537869050737
74,all,passenger,20_USA,1986,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,28.57971552100196
75,all,passenger,20_USA,1987,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.27145385845297
76,all,passenger,20_USA,1988,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,30.68293613406149
77,all,passenger,20_USA,1989,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,30.190037561626763
78,all,passenger,20_USA,1990,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,30.25271101539187
79,all,passenger,20_USA,1991,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,28.52004006679249
80,all,passenger,20_USA,1992,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,30.553877644269637
81,all,passenger,20_USA,1993,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,27.80312413419431
82,all,passenger,20_USA,1994,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.247230694177865
83,all,passenger,20_USA,1995,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,30.40590305153656
