Vehicle Type,Drive,Value,transport_type,economy,date,medium,measure,dataset,source,unit,fuel,comment,scope,frequency
2w,bev,0.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,bev,0.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,bev,24674.4,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,bev,0.0,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,bev,0.0,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
2w,cng,0.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,cng,0.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,cng,99069.20000000001,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,cng,0.0,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,cng,99069.20000000001,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
2w,phev_g,0.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,phev_g,0.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,phev_g,198388.80000000002,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,phev_g,0.0,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,phev_g,0.0,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
2w,phev_d,0.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,phev_d,0.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,phev_d,9285.6,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,phev_d,0.0,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,phev_d,0.0,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
2w,lpg,0.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,lpg,0.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,lpg,468440.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,lpg,0.0,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,lpg,0.0,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
2w,ice_g,17824588.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,ice_g,106244.8,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,ice_g,6213960.800000001,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,ice_g,0.0,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,ice_g,0.0,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
2w,ice_d,0.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,ice_d,0.0,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,ice_d,3628966.8000000003,passenger,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,ice_d,980439.2000000001,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,ice_d,5569658.800000001,freight,19_THA,2017,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
