Vehicle Type,Drive,Value,date,transport_type,economy,medium,measure,dataset,source,unit,fuel,comment,scope,frequency
2w,lpg,0.0,2020,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,lpg,136.0,2020,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lpv,lpg,130172.0,2020,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,lpg,8304.0,2020,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,lpg,6447.0,2020,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,ice_g,10348397.0,2020,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,ice_g,20330.0,2020,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lpv,ice_g,60350110.0,2020,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,ice_g,0.0,2020,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,ice_g,10778847.0,2020,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,ice_d,0.0,2020,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,ice_d,201860.0,2020,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lpv,ice_d,1436830.0,2020,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,ice_d,2779188.0,2020,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,ice_d,2417582.0,2020,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,lpg,0.0,2021,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,lpg,125.0,2021,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lpv,lpg,120058.0,2021,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,lpg,7181.0,2021,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,lpg,5819.0,2021,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,ice_g,10287454.0,2021,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,ice_g,20475.0,2021,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lpv,ice_g,65905559.0,2021,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,ice_g,0.0,2021,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,ice_g,5111338.0,2021,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,ice_d,0.0,2021,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,ice_d,195816.0,2021,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lpv,ice_d,1527862.0,2021,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,ice_d,2796479.0,2021,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,ice_d,2423244.0,2021,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
