SCENARIO,REGION,Drive,Vehicle Type,Transport Type,Medium,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Net-zero,01_AUS,,,freight,air,1.233438002779041,1.252628126504506,1.27549230851723,0.7565607549396218,0.8763348949703249,1.147107059414939,1.296578761011151,1.325896994188757,1.354386818347383,1.374454235667704,1.393876083274099,1.412699840312683,1.408041129002797,1.402103374498346,1.394930849926927,1.38652807004416,1.376834651242215,1.365766402804891,1.353298232352847,1.356640358962501,1.35922318089821,1.361171226026088,1.36263571383976,1.363744156973851,1.364568761279905,1.365166803881364,1.365612031679374,1.365975491552199,1.366322164082523,1.366717302160597,1.367212460311944,1.367861941956021,1.368718273082557,1.369833809681338,1.392300995919952,1.415032638067075,1.43804489915037,1.461356236835217,1.484980528306422,1.508926441620128,1.53319291025321,1.557773432923891,1.582653439361106,1.607821810864826,1.633277759083309,1.659020799389364,1.685041297380296,1.711329468172361,1.737878014719601,1.764683677368818,1.791747637345888,1.819062911702324,1.846621977570661,1.874423135743569
Net-zero,01_AUS,,,passenger,air,77.57238248080104,79.28283868670661,82.67642330527964,42.7468872062113,61.80035606320611,81.75634044209575,93.22546445225024,95.5268622484268,97.71136460977684,99.8478690346702,100.2855327434988,100.5656238700682,100.6957856303397,100.6836816607111,99.66768323755706,99.40970531513096,98.19466182334364,97.71042402950351,97.10824507419946,97.67749400096272,98.1822656159197,98.62799699346732,98.26191357007896,98.61819663442778,98.93256684287644,99.21381211957068,99.4673109996891,99.69849552082631,99.91260846062988,100.1148054094373,100.3049663806972,100.4868324332207,100.6642375701417,100.8416109570099,103.9533518049893,105.8231624903888,107.7358448576607,109.6928899253417,111.6956927275416,113.7455360975402,115.8434690938212,117.9904241068744,120.1871464746461,122.4345069040166,124.733688391102,127.0859160012005,129.4922021735026,131.9535910637448,134.4712308971738,137.0464169068053,139.6806033081075,142.3750635190902,145.1310974638429,147.9502048157332
Net-zero,01_AUS,,,,nonspecified,9.381613968,9.594010332,9.68995043532,9.7868499396732,9.884718439069932,9.983565623460631,10.08340127969524,10.18423529249219,10.28607764541711,10.38893842187128,10.49282780609,10.5977560841509,10.70373364499241,10.81077098144233,10.91887869125675,11.02806747816932,11.13834815295101,11.24973163448052,11.36222895082533,11.47585124033358,11.59060975273692,11.70651585026429,11.82358100876693,11.9418168188546,12.06123498704314,12.18184733691358,12.30366581028271,12.42670246838554,12.55096949306939,12.67647918800009,12.80324397988009,12.93127641967889,13.06058918387568,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443,13.19119507571443
Net-zero,01_AUS,,,,nonspecified,0.024367176,0.0785025,0.058876875,0.04415765625,0.0331182421875,0.024838681640625,0.01862901123046875,0.01397175842285156,0.01047881881713867,0.007859114112854004,0.005894335584640503,0.004420751688480377,0.003315563766360283,0.002486672824770212,0.001865004618577659,0.001398753463933244,0.001049065097949933,0.0007867988234624499,0.0005900991175968374,0.000442574338197628,0.000331930753648221,0.0002489480652361658,0.0001867110489271243,0.0001400332866953433,0.0001050249650215074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net-zero,01_AUS,,,,nonspecified,6.95448414,6.818036328,6.88621669128,6.9550788581928,7.024629646774728,7.094875943242475,7.1658247026749,7.237482949701649,7.309857779198666,7.382956356990652,7.456785920560558,7.531353779766164,7.606667317563826,7.682733990739464,7.759561330646858,7.837156943953326,7.91552851339286,7.994683798526789,8.074630636512056,8.155376942877178,8.236930712305949,8.319300019429008,8.402493019623298,8.48651794981953,8.571383129317725,8.657096960610902,8.743667930217011,8.831104609519182,8.919415655614374,9.008609812170517,9.098695910292223,9.189682869395146,9.281579698089097,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988,9.374395495069988
Net-zero,01_AUS,,,,nonspecified,0.005066028,0.014570064,0.01471576464,0.0148629222864,0.015011551509264,0.01516166702435664,0.01531328369460021,0.01546641653154621,0.01562108069686167,0.01577729150383029,0.01593506441886859,0.01609441506305728,0.01625535921368785,0.01641791280582473,0.01658209193388297,0.01674791285322181,0.01691539198175402,0.01708454590157156,0.01725539136058728,0.01742794527419315,0.01760222472693508,0.01777824697420444,0.01795602944394648,0.01813558973838595,0.01831694563576981,0.0185001150921275,0.01868511624304878,0.01887196740547927,0.01906068707953406,0.0192512939503294,0.01944380688983269,0.01963824495873102,0.01983462740831833,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151,0.02003297368240151
Net-zero,01_AUS,,,,nonspecified,0.159182136,0.15616764,0.1443246908485616,0.1333798499390327,0.1232650093699209,0.1139172261920516,0.1052783307251971,0.09729456457795414,0.08991624611832928,0.08309746131331082,0.07679577801357498,0.07097198190536769,0.06558983248643509,0.06061583754748223,0.05601904475579579,0.05177084904409111,0.04784481460599648,0.04421651039048286,0.04086335807154831,0.03776449154709827,0.03490062709270676,0.03225394336224736,0.029807970488658,0.02754748759473226,0.02545842807616431,0.02352779206743955,0.02174356554586118,0.02009464557031054,0.01857077118951459,0.0171624595898745,0.0158609470855138,0.01465813458333733,0.01354653718373902,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241,0.01251923760333241
Net-zero,01_AUS,,,,nonspecified,0.301114656,0.300235428,0.2545317104981075,0.2157852991589401,0.1829371092583746,0.1550892765830195,0.1314806154341987,0.1114658125682971,0.09449778836583572,0.0801127430938774,0.06791747952003874,0.05757865535760704,0.04881367177078363,0.04138294888873254,0.03508337718926645,0.02974276575392787,0.02521513564445763,0.02137672975097929,0.01812263004608684,0.01536388978170451,0.01302510224090424,0.01104233958955067,0.009361405488859569,0.00793635370621817,0.006728232232345695,0.005704018576806498,0.004835717139509394,0.004099593985971374,0.003475528109883982,0.002946461450555477,0.002497932632143001,0.002117681680019448,0.001795314909690991,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698,0.001522020828422698
Net-zero,01_AUS,,,,nonspecified,0.569697876,0.601182612,0.60719443812,0.6132663825011999,0.6193990463262119,0.625593036789474,0.6318489671573687,0.6381674568289424,0.6445491313972318,0.6509946227112041,0.6575045689383162,0.6640796146276994,0.6707204107739764,0.6774276148817161,0.6842018910305333,0.6910439099408386,0.697954349040247,0.7049338925306494,0.7119832314559559,0.7191030637705155,0.7262940944082207,0.7335570353523029,0.7408926057058259,0.7483015317628842,0.755784547080513,0.7633423925513182,0.7709758164768313,0.7786855746415996,0.7864724303880156,0.7943371546918958,0.8022805262388147,0.8103033315012029,0.818406364816215,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771,0.8265904284643771
Net-zero,01_AUS,,,,nonspecified,,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852,0.399378852
