Source,Economy,Measure,Unit,Transport Type,Medium,Vehicle Type,Drive,Year,Value
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2006,461000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2006,22000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2007,5790332.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2007,3163367.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2007,4235611.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2007,3000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2007,466000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2007,16000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2007,20821901.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2007,3062442.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2007,6000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2007,207000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2007,23000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2007,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2007,17543923.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2007,32567524.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2007,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2007,459000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2007,24000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2008,6201870.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2008,3205834.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2008,4447910.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2008,3000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2008,480000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2008,17000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2008,20705861.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2008,3316087.0
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2008,2486233.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2008,6000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2008,226000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2008,21000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2008,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2008,17926748.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2008,32006944.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2008,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2008,458000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2008,25000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2009,5766041.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2009,2952584.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2009,4056300.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2009,3000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2009,591000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2009,0.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2009,18015533.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2009,2884487.0
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2009,1786509.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2009,6000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2009,233000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2009,18000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2009,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2009,16341378.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2009,28467280.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2009,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2009,631000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2009,26000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2010,6507984.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2010,3235761.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2010,4670200.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2010,3000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2010,596000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2010,18000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2010,20533734.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2010,3691374.0
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2010,2454838.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2010,6000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2010,241000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2010,18000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2010,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2010,19368960.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2010,31507445.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2010,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2010,614000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2010,26000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2011,6709602.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2011,3315391.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2011,4734600.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2011,3000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2011,862000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2011,18000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2011,21135704.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2011,4223631.0
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2011,3028264.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2011,6000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2011,255000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2011,17000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2011,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2011,21610502.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2011,32745592.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2011,2000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2011,402000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2011,27000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2012,6936142.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2012,3559595.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2012,5109500.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2012,3000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2012,594000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2012,19000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2012,21225537.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2012,4878097.0
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,2012,2414656.0
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2012,3371039.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2012,7000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2012,271000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2012,0.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2012,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2012,22550275.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2012,33236967.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2012,2000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2012,354000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2012,27000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2013,6994361.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2013,3686321.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2013,5225900.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2013,3000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2013,605000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2013,19000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2013,21490748.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2013,4875281.0
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,2013,2503737.0
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2013,3501985.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2013,6000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2013,289000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2013,17000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2013,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2013,23469251.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2013,34484687.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2013,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2013,358000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2013,27000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2014,7519534.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2014,3897973.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2014,5429700.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2014,3000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2014,611000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2014,19000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2014,21717653.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2014,5058635.0
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,2014,2672030.0
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2014,3617159.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2014,6000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2014,299000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2014,0.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2014,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2014,24798210.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2014,35867974.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2014,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2014,357000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2014,26000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2015,7415789.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2015,4071322.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2015,5792200.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2015,3000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2015,616000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2015,20000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2015,21196655.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2015,5506488.0
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,2015,2777805.0
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2015,2906555.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2015,6000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2015,302000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2015,0.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2015,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2015,25680530.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2015,35665402.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2015,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2015,353000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2015,27000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2016,7529626.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2016,4170821.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2016,5684800.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2016,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2016,618000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2016,20000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2016,21709965.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2016,5680483.0
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,2016,2869420.0
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2016,3056806.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2016,26005344.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2016,36504338.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2016,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2016,351000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2016,27000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2017,8047764.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2017,4534111.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2017,6428254.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2017,618000000.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2017,6371628.0
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,2017,3120030.0
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2017,3520306.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2017,27468077.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2017,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2017,343000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2017,27000000.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2018,4654397.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2018,6660315.0
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,2018,3176022.0
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2018,3888129.0
