Measure,Medium,Value,Unit,Economy,Transport Type,Vehicle Type,Fuel_Type,Source,Comments,Scope,Drive,Frequency,Date,Dataset
passenger_km,all,288845191394.396,passenger_km,01_AUS,passenger,all,all,"UN Statistics Division, ITF",,"National, International",all,Yearly,2018-12-31,ATO
passenger_km,road,108455388662.918,passenger_km,01_AUS,passenger,all,all,"UN Statistics Division, ITF",,National,all,Yearly,2018-12-31,ATO
passenger_km,road,288158000000.0,passenger_km,01_AUS,passenger,all,all,World Bank (WB),,National,all,Yearly,2004-12-31,ATO
passenger_km,road,290280000000.0,passenger_km,01_AUS,passenger,all,all,World Bank (WB),,National,all,Yearly,2005-12-31,ATO
passenger_km,road,298890000000.0,passenger_km,01_AUS,passenger,all,all,World Bank (WB),,National,all,Yearly,2006-12-31,ATO
passenger_km,road,302123000000.0,passenger_km,01_AUS,passenger,all,all,World Bank (WB),,National,all,Yearly,2007-12-31,ATO
passenger_km,road,302369000000.0,passenger_km,01_AUS,passenger,all,all,World Bank (WB),,National,all,Yearly,2008-12-31,ATO
passenger_km,road,301450000000.0,passenger_km,01_AUS,passenger,all,all,World Bank (WB),,National,all,Yearly,2009-12-31,ATO
passenger_km,road,303800000000.0,passenger_km,01_AUS,passenger,all,all,World Bank (WB),,National,all,Yearly,2010-12-31,ATO
passenger_km,road,217782780663.22412,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,1990-12-31,ATO
passenger_km,road,217525224682.3598,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,1991-12-31,ATO
passenger_km,road,221074090197.90088,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,1992-12-31,ATO
passenger_km,road,227315248765.1712,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,1993-12-31,ATO
passenger_km,road,232453462258.447,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,1994-12-31,ATO
passenger_km,road,238963524413.97412,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,1995-12-31,ATO
passenger_km,road,242623359346.6251,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,1996-12-31,ATO
passenger_km,road,244099164008.9744,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,1997-12-31,ATO
passenger_km,road,246473884580.1904,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,1998-12-31,ATO
passenger_km,road,251909867086.79282,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,1999-12-31,ATO
passenger_km,road,256800816263.1935,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2000-12-31,ATO
passenger_km,road,254423551500.9703,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2001-12-31,ATO
passenger_km,road,260515121680.6621,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2002-12-31,ATO
passenger_km,road,267138423779.26743,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2003-12-31,ATO
passenger_km,road,279132162800.3293,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2004-12-31,ATO
passenger_km,road,279904668039.0954,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2005-12-31,ATO
passenger_km,road,275485199790.7777,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2006-12-31,ATO
passenger_km,road,278975222448.97577,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2007-12-31,ATO
passenger_km,road,280777913014.4852,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2008-12-31,ATO
passenger_km,road,280001312201.3722,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2009-12-31,ATO
passenger_km,road,281717098033.94586,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2010-12-31,ATO
passenger_km,road,284570707469.5584,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2011-12-31,ATO
passenger_km,road,287258447282.08936,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2012-12-31,ATO
passenger_km,road,293035132612.6377,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2013-12-31,ATO
passenger_km,road,297578018129.4604,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2014-12-31,ATO
passenger_km,road,300758181630.1454,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2015-12-31,ATO
passenger_km,road,302441917870.8773,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2016-12-31,ATO
passenger_km,road,303594495801.5649,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2017-12-31,ATO
passenger_km,road,304621783218.71344,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2018-12-31,ATO
passenger_km,road,303431688976.5801,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2019-12-31,ATO
passenger_km,road,276958054909.7987,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2020-12-31,ATO
passenger_km,road,274763401124.0121,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2021-12-31,ATO
passenger_km,road,263923481318.0118,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2022-12-31,ATO
passenger_km,road,286667149169.5799,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,all,Yearly,2023-12-31,ATO
passenger_km,rail_road,227787794623.4129,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,1990-12-31,ATO
passenger_km,rail_road,227495142883.2247,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,1991-12-31,ATO
passenger_km,rail_road,230864278352.2005,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,1992-12-31,ATO
passenger_km,rail_road,236797587595.13208,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,1993-12-31,ATO
passenger_km,rail_road,242216260145.59152,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,1994-12-31,ATO
passenger_km,rail_road,249097122029.48932,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,1995-12-31,ATO
passenger_km,rail_road,253069455965.04367,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,1996-12-31,ATO
passenger_km,rail_road,254822543348.4152,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,1997-12-31,ATO
passenger_km,rail_road,257197618803.4368,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,1998-12-31,ATO
passenger_km,rail_road,262829290266.31302,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,1999-12-31,ATO
passenger_km,rail_road,268097209615.8654,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2000-12-31,ATO
passenger_km,rail_road,266309552656.81567,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2001-12-31,ATO
passenger_km,rail_road,272228483475.24152,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2002-12-31,ATO
passenger_km,rail_road,278846104744.8798,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2003-12-31,ATO
passenger_km,rail_road,290925091907.8545,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2004-12-31,ATO
passenger_km,rail_road,291674106727.593,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2005-12-31,ATO
passenger_km,rail_road,287781326104.92365,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2006-12-31,ATO
passenger_km,rail_road,291861171302.3727,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2007-12-31,ATO
passenger_km,rail_road,294689735088.18445,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2008-12-31,ATO
passenger_km,rail_road,294622238017.185,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2009-12-31,ATO
passenger_km,rail_road,296270726424.4836,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2010-12-31,ATO
passenger_km,rail_road,299364830769.6141,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2011-12-31,ATO
passenger_km,rail_road,302335427025.5449,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2012-12-31,ATO
passenger_km,rail_road,308084442603.3839,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2013-12-31,ATO
passenger_km,rail_road,312649753205.1952,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2014-12-31,ATO
passenger_km,rail_road,316231977341.3528,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2015-12-31,ATO
passenger_km,rail_road,318482059717.1035,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2016-12-31,ATO
passenger_km,rail_road,320171314835.3324,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2017-12-31,ATO
passenger_km,rail_road,321829999484.7867,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2018-12-31,ATO
passenger_km,rail_road,321303018351.9332,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2019-12-31,ATO
passenger_km,rail_road,291171311863.0835,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2020-12-31,ATO
passenger_km,rail_road,283565318960.047,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2021-12-31,ATO
passenger_km,rail_road,272093218235.1753,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2022-12-31,ATO
passenger_km,rail_road,299819317623.0972,passenger_km,01_AUS,passenger,all,all,Country Official Statistics,,National,rail_road,Yearly,2023-12-31,ATO
freight_tonne_km,all,717604320513.3485,freight_tonne_km,01_AUS,freight,all,all,"UN Statistics Division, ITF",,"National, International",all,Yearly,2018-12-31,ATO
freight_tonne_km,road,92350240519.39911,freight_tonne_km,01_AUS,freight,all,all,Country Official Statistics,,National,all,Yearly,1990-12-31,ATO
freight_tonne_km,road,86631230381.09137,freight_tonne_km,01_AUS,freight,all,all,Country Official Statistics,,National,all,Yearly,1991-12-31,ATO
freight_tonne_km,road,89764260692.85011,freight_tonne_km,01_AUS,freight,all,all,Country Official Statistics,,National,all,Yearly,1992-12-31,ATO
freight_tonne_km,road,94143321670.76329,freight_tonne_km,01_AUS,freight,all,all,Country Official Statistics,,National,all,Yearly,1993-12-31,ATO
freight_tonne_km,road,98193694619.23349,freight_tonne_km,01_AUS,freight,all,all,Country Official Statistics,,National,all,Yearly,1994-12-31,ATO
freight_tonne_km,road,103670824215.40979,freight_tonne_km,01_AUS,freight,all,all,Country Official Statistics,,National,all,Yearly,1995-12-31,ATO
