Measure,Value,Unit,Economy,Source,Comments,Scope,Frequency,Date,Dataset
COVID Google Mobility Data - Retail and recreation,0.1319354838709677,%,01_AUS,Google,,National,Monthly,2021-10-31,ATO
COVID Google Mobility Data - Retail and recreation,0.02533333333333333,%,01_AUS,Google,,National,Monthly,2021-11-30,ATO
COVID Google Mobility Data - Retail and recreation,0.003225806451612903,%,01_AUS,Google,,National,Monthly,2021-12-31,ATO
COVID Google Mobility Data - Retail and recreation,0.1254838709677419,%,01_AUS,Google,,National,Monthly,2022-01-31,ATO
COVID Google Mobility Data - Retail and recreation,0.08214285714285713,%,01_AUS,Google,,National,Monthly,2022-02-28,ATO
COVID Google Mobility Data - Retail and recreation,0.0932258064516129,%,01_AUS,Google,,National,Monthly,2022-03-31,ATO
COVID Google Mobility Data - Parks,0.001333333333333333,%,01_AUS,Google,,National,Monthly,2020-02-29,ATO
COVID Google Mobility Data - Parks,0.1370967741935484,%,01_AUS,Google,,National,Monthly,2020-03-31,ATO
COVID Google Mobility Data - Parks,0.3576666666666666,%,01_AUS,Google,,National,Monthly,2020-04-30,ATO
COVID Google Mobility Data - Parks,0.2458064516129032,%,01_AUS,Google,,National,Monthly,2020-05-31,ATO
COVID Google Mobility Data - Parks,0.1496666666666667,%,01_AUS,Google,,National,Monthly,2020-06-30,ATO
COVID Google Mobility Data - Parks,0.1232258064516129,%,01_AUS,Google,,National,Monthly,2020-07-31,ATO
COVID Google Mobility Data - Parks,0.1364516129032258,%,01_AUS,Google,,National,Monthly,2020-08-31,ATO
COVID Google Mobility Data - Parks,0.059,%,01_AUS,Google,,National,Monthly,2020-09-30,ATO
COVID Google Mobility Data - Parks,0.08129032258064516,%,01_AUS,Google,,National,Monthly,2020-10-31,ATO
COVID Google Mobility Data - Parks,0.1176666666666667,%,01_AUS,Google,,National,Monthly,2020-11-30,ATO
COVID Google Mobility Data - Parks,0.08870967741935484,%,01_AUS,Google,,National,Monthly,2020-12-31,ATO
COVID Google Mobility Data - Parks,0.04548387096774194,%,01_AUS,Google,,National,Monthly,2021-01-31,ATO
COVID Google Mobility Data - Parks,0.1625,%,01_AUS,Google,,National,Monthly,2021-02-28,ATO
COVID Google Mobility Data - Parks,0.1812903225806451,%,01_AUS,Google,,National,Monthly,2021-03-31,ATO
COVID Google Mobility Data - Parks,0.08033333333333333,%,01_AUS,Google,,National,Monthly,2021-04-30,ATO
COVID Google Mobility Data - Parks,0.1625806451612903,%,01_AUS,Google,,National,Monthly,2021-05-31,ATO
COVID Google Mobility Data - Parks,0.2113333333333333,%,01_AUS,Google,,National,Monthly,2021-06-30,ATO
COVID Google Mobility Data - Parks,0.2270967741935484,%,01_AUS,Google,,National,Monthly,2021-07-31,ATO
COVID Google Mobility Data - Parks,0.2116129032258064,%,01_AUS,Google,,National,Monthly,2021-08-31,ATO
COVID Google Mobility Data - Parks,0.103,%,01_AUS,Google,,National,Monthly,2021-09-30,ATO
COVID Google Mobility Data - Parks,0.0864516129032258,%,01_AUS,Google,,National,Monthly,2021-10-31,ATO
COVID Google Mobility Data - Parks,0.1586666666666667,%,01_AUS,Google,,National,Monthly,2021-11-30,ATO
COVID Google Mobility Data - Parks,0.03516129032258065,%,01_AUS,Google,,National,Monthly,2021-12-31,ATO
